no,nama,vote_average,vote_count,type,htm_weekday,htm_weekend,location,description
1,Taman Tempuran Cikal,4.4,294,alam,10000,,,"TAMAN TEMPURAN CIKAL Taman Tempuran Cikal terletak di kecamatan Piyungan. Di taman ini, para pengunjung bisa mencoba bermain dengan beberapa wahana yang ada sembari menikmati kesejukan alam. Taman Tempuran Cikal atau biasa disebut TTC terletak di Dusun Cikal, Desa Srimulyo, Kecamatan Piyungan, Kabupaten Bantul. Kata Tempuran ini diambil dari pertemuan antara dua sungai, yaitu sungai gawe dan sungai opak. Taman tempuran ini telah menjadi salah satu obyek wisata baru di daerah Piyungan dan telah dilengkapi dengan beberapa fasilitas seperti wahana speed boat, kapal, kano, ATV, mini trail, flying fox, outbound, taman bermain, gazebo, tempat parkir yang luas, dan toilet. Ditaman ini, pengunjung juga bisa menikmati macam-macam kuliner yang"
2,Selopamioro Adventure Park,4.5,696,alam,30000,,,Kegiatan outbond di lokasi Selopamioro Adventure Park sangat memanjakan para konsumen untuk menikmati alam. Fasilitas outbond berupa permainan air dan darat dari level anak anak sampai dengan dewasa bisa menjadi rekomendasi anda dan rekan kerja selanjutnya untuk mencoba outbond di Selopamioro Adventure Park.
3,Tebing Gunung Gajah,4.5,457,alam,5000,,,"Letaknya di dataran tinggi, dengan view pemandangan perbukitan dan menoreh yang hijau, dan terdapat Waduk Sermo di tengahnya. Selain spot fotonya kemudian juga terdapat spot foto love lock, sky bar, dan fancy termasuk wahana outbound selain dari beberapa spot fotografi dengan tema tertentu."
4,Restoe Boemi Kreo,4.5,176,alam,,,,Restoe Boemi Kreo sebuah rumah makan hasil karya NextDestinXction untuk masyarakat kreo
5,Bukit Paralayang Watugupit,4.7,9614,alam,5000,,,"Seperti namanya, bukit ini digunakan sebagai tempat untuk landasan pacu olahraga paralayang. Para profesional banyak yang berlatih di sini. Bahkan, orang awam pun dapat mencoba paralayang karena terdapat instruktur yang akan mendampingi."
6,Jomblang Cave,4.6,1064,alam,,,,Penyusuran goa vertikal sedalam 90 meter dengan sistem katrol
7,Bukit Pengilon,4.6,439,alam,,,,"Nama bukit Pengilon berasal dari bahasa Jawa yang berarti cermin, karena di bukit ini terdapat batu yang mirip sekali dengan cermin. Areanya menyejukkan serta sangat luas. Bahkan saking luasnya destinasi ini, banyak wisatawan yang melakukan tracking hingga camping dan mendirikan tenda di sana. Tak hanya itu, tempat satu ini juga akan memanjakan mata anda. Anda bisa mengabadikan foto dengan pemandangan indah yang berlatar belakang laut."
8,Taman Sari,4.6,27899,sejarah,,,,"Taman Sari Yogyakarta, merupakan salah satu bangunan milik kesultanan Yogyakarta yang difungsikan sebagai destinasi wisata. Namun selain sebagai destinasi wisata, taman sari pada saat tertentu juga masih digunakan sebagai tempat ritual oleh keluarga raja. Dengan bentuk bangunan arsitektur ala Portugis-Jawa, bangunan di taman ini menjadi daya tarik utama. Meskipun sekarang kondisi bangunan tak lagi utuh seperti saat masih difungsikan sebagai taman kesultanan, namun tetap saja aura keindahan terpancar kuat dari bangunan bangunan di taman ini."
9,Candi Borobudur,4.7,81922,sejarah,50000,,,Candi yang pernah masuk sebagai salah satu dari Tujuh Keajaiban Dunia ini dihiasi oleh banyak relief di dinding candi. Relief yang ada di Candi Borobudur mencapai 2.672 dan panjangnya bisa mencapai 6 kilometer
10,Candi Prambanan,4.7,71751,sejarah,50000,,,"Candi Prambanan adalah kompleks candi Hindu terbesar di Indonesia yang dibangun pada abad ke-9 masehi. Candi ini dipersembahkan untuk Trimurti, tiga dewa utama Hindu yaitu Brahma sebagai dewa pencipta, Wisnu sebagai dewa pemelihara, dan Siwa sebagai dewa pemusnah. Berdasarkan prasasti Siwagrha nama asli kompleks candi ini adalah Siwagrha (bahasa Sanskerta yang bermakna 'Rumah Siwa'), dan memang di garbagriha (ruang utama) candi ini bersemayam arca Siwa Mahadewa setinggi tiga meter yang menujukkan bahwa di candi ini dewa Siwa lebih diutamakan."
11,Keraton Yogyakarta,4.6,30072,sejarah,,,,"Kompleks keraton merupakan museum yang menyimpan berbagai koleksi milik kesultanan, termasuk berbagai pemberian dari raja-raja Eropa, replika pusaka keraton, dan gamelan. Dari segi bangunannya, keraton ini merupakan salah satu contoh arsitektur istana Jawa yang terbaik, memiliki balairung-balairung mewah dan lapangan serta paviliun yang luas."
12,Masjid Gedhe Kauman,4.8,9784,sejarah,,,,"Masjid Gedhe Kauman dibangun oleh Sri Sultan Hamengku Buwono I bersama Kyai Faqih Ibrahim Diponingrat (penghulu kraton pertama) dan Kyai Wiryokusumo sebagai arsiteknya. Masjid ini dibangun pada hari Ahad Wage, 29 Mei 1773 M atau 6 Rabi'ulakhir 1187 H. Masjid Gedhe Kauman merupakan tempat untuk beribadah, namun masjid ini juga menjadi tempat wisata yang cukup terkenal. Meskipun demikian, fungsi utama masjid sebagai tempat ibadah masih terjaga dengan sangat baik lengkap dengan semua fasilitas yang diperlukan."
13,Museum Benteng Vredeburg,4.6,15279,sejarah,3000,,,"Benteng Vredeburg merupakan salah satu museum peninggalan Belanda yang sangat terkenal di Jogja karena di museum ini memiliki nilai cerita yang cukup panjang dan masih bertahan hingga saat ini. Museum Benteng Vredeburg mengoleksi berbagai macam karya seni, berbagai macam patung, dan berbagai macam senjata peninggalan Belanda."
14,Candi Sewu,4.6,2968,sejarah,,,,"Candi Sewu adalah candi Buddha yang dibangun pada abad ke-8 Masehi yang berjarak hanya delapan ratus meter di sebelah utara Candi Prambanan. Candi Sewu merupakan kompleks candi Buddha terbesar kedua setelah Candi Borobudur di Jawa Tengah. Candi Sewu berusia lebih tua daripada Candi Borobudur dan Prambanan. Meskipun aslinya memiliki 249 candi, oleh masyarakat setempat candi ini dinamakan ""Sewu"" yang berarti seribu dalam bahasa Jawa. Penamaan ini berdasarkan kisah legenda Loro Jonggrang."
15,Candi Kalasan,4.5,1291,sejarah,,,,"Candi Kalasan adalah candi yang dipersembahkan untuk Dewi Tara yang dinding luarnya dilapisi semen kuno. Candi Budha tertua di Yogyakarta ini dibangun oleh Rakai Panangkaran, raja dari dinasti Syailendra yang juga mengkonsep pendirian Borobudur."
16,Candi Sambisari,4.6,6238,sejarah,5000,,,"Candi Sambisari adalah Candi Hindu yang berada di Purwomartani, Kalasan, Sleman, Daerah Istimewa Yogyakarta. Posisinya kira-kira berada 12 kilometer (km) di sebelah timur kota Yogyakarta ke arah kota Solo. Lokasi candinya pun cukup unik, yaitu terletak kira-kira 6,5 meter lebih rendah dari permukaan tanah di sekitarnya. Oleh karena itu, jika hendak masuk ke dalam kompleks candi kamu harus berjalanan kaki menuruni puluhan anak tangga yang cukup curam sehingga kamu harus berhati-hati. Jika kamu berada di kawasan sekitar candi, yang kamu lihat hanyalah atap candi yang sedikit menyembul di permukaan tanah."
17,Candi Ijo,4.7,159,sejarah,5000,,,"Candi Ijo adalah sebuah kompleks percandian bercorak Hindu, berada 4 kilometer arah tenggara dari Candi Ratu Boko atau kira-kira 18 kilometer di sebelah timur kota Yogyakarta. Candi ini diperkirakan dibangun antara kurun abad ke-10 sampai dengan ke-11 Masehi pada saat zaman Kerajaan Medang periode Mataram. "
18,Pantai Glagah,4.4,2004,alam,6000,,,"Pantai Glagah Indah adalah salah satu pantai yang menjadi objek wisata di provinsi Daerah Istimewa Yogyakarta. Pantai Glagah Indah merupakan salah satu pantai di Yogyakarta dengan hamparan pasir yang berwarna hitam dan banyak mengandung pasir besi. Pantai Glagah Indah memiliki akses yang baik. Pantai Glagah dikenal sebagai salah satu pantai di Jogja yang memiliki ombak cukup besar. Oleh sebab itu, di kawasan pantai pun dibangun tetrapod."
19,Pantai Parangtritis,4.5,8727,alam,6000,,,"Paintai Parangtritis merupakan salah satu ikon di Kabupaten Bantul. Pantai ini memiliki pasir hitam. Di pantai ini dapat bermain ATV, menaiki kuda. Di sisi utara timur pantai dapat menemukan bukit kecil yang sangat cocok untuk menikmati pemandangan sore hari ditemani angin. pantai ini memiliki cerita misteri di dalamnya."
20,Hutan Mangrove Kadilangu,4.4,235,alam buatan,6000,,,"Hutan Mangrove Kadilangu ini memiliki banyak spot foto menarik. seperti ada jembatan bambu yang megah atau besar, spot foto berbentuk hati dengan pemandangan aliran sungan Bowogowonto dan tanaman mangrove, spot foto menara yang dapat digunakan sebagai menara pandang. disini juga terdapat perahu yang dapat dinaiki yang akan membawa traveler mengarungi aliran sungai Bogowonto menuju kawasan mangrove sebelah kadilangu"
21,Kaliadem,4.5,12338,alam/sejarah,3000,,,"Bunker Kaliadaem merupakan tempat untuk berlindung dari ganasnya Gunung Merapi. tempat ini menyimpan banyak jejak ganasnya Gunung merapi. di bunker kaliadem terdapat pintu utama yang terbuat dari baja setebal 15 cm, ruangan bungker yang masih memiliki sisa-sisa material merapi, dan bagian atas yang dilapisi batu serta pasir vulkanis"
